KEY,EN,RU,FR,DE,UK,ZH,JA
Achievements,"Achievements","Достижения","Réalisations","Erfolge","Досягнення","成就","実績"
LeaderBoard,"LeaderBoard","Лидеры","LeaderBoard","Rang","Лідери","排行榜","リーダーボード"
LocalScores,"LocalScores","Результаты","Résultats","Befund","Результати","本地比分","その結果"
Now Score is:,"Now Score is:","Очков сейчас:","Points maintenant:","Zeigt jetzt:","Очків зараз:","现在比分是:","今のポイント"
About the game:,"About the Game:","Об Игре:","A propos du jeu:","Über das Spiel:","Про гру","关于游戏","ゲームについて"
Exit from Tutorial,"Exit from Tutorial","Выход из обучения","Sortie du Tutoriel","Beenden Tutorial","Скінчити Навчання","完成培訓","トレーニングを完了"
Tips-and-Tricks!, "Tips-and-Tricks!","Советы-и-Секреты!","Conseils-et-astuces","Tipps-und-Tricks","Поради-й-Секрети","提示和 - 秘密","ヒント·アンド·シークレッツ！"
Move the ball with your finger!,"Move the ball with your finger!","Двигай шар пальцем!","Déplacez la boule avec votre doigt!","Bewegen Sie den Ball mit dem Finger!","Рухай шар пальцем!","移動球用你的手指！","指でボールを移動！"
Tap on the gift to collect!,"Tap on the gift to collect!","Нажми по подарок чтобы собрать!","Appuyez sur le don de se rassembler!","Tippen Sie auf das Geschenk zu sammeln!","Збирай дарунки пальцем!","領取禮品","プレゼントを集める"
Swipe directional to direct ball!,"Swipe directional to direct ball!","Прямой свайп для прямого броска!","Glissez directionnel pour diriger la balle!","Streichen Sie den Richtungs Ball direkt!","Прямий свайп для прямого шару!","直接刷卡直接扔！","ダイレクトスワイプ直接投げる！"
Swipe diagonally for corner ball!,"Swipe diagonally for corner ball!","Диагональный свайп для углового броска!","Passez en diagonale pour coin balle!","Diagonal Swipe für Eck-Ball!","Кутовий свайп для кутового шару!","對角線滑動的一個角落裡扔！","コーナー投げ用斜めスワイプ！"
Swipe to side for curve ball!,"Swipe to side for curve ball!","Свайп в сторону для подкрутки шара!","Passez à côté de la balle courbe!","Streichen Sie für Kurve Ball her!","Свайп до сторони для підкрутки!","刷到一邊為球的捻！","ボールのねじれのために側にスワイプ！"
Use Tilt for drive a Ball!,"Use Tilt for drive a Ball!","Наклоняя устройство управляйте шаром!","Utilisez Tilt pour conduire une boule!","Verwenden Sie für Tilt fahren einen Ball!","Нахиляй пристрій для керування!","傾斜你的設備來控制球","ボールをコントロールするには、デバイスを傾ける"
Use bomb in exceptional cases!,"Use bomb in exceptional cases!","Используйте бомбу в исключительных случаях!","Utiliser la bombe dans des cas exceptionnels!","Verwenden Bombe in Ausnahmefällen!","Застосовуй бомбу коли потрібно!","使用炸彈在特殊情況下！","例外的な場合に爆弾を使用してください！"
